Open,High,Low,Close,Adj Close,Volume,Search Vol
202025.2656,210865.8906,150437.5469,198943.5625,198943.5625,1.52E+12,2.79586
199405.4219,221165.5469,189017.125,206260.3906,206260.3906,1.00E+12,2.29667
204500.875,215298.7813,199425.4688,205913.8125,205913.8125,5.98E+11,2.38743
207422.7188,228989,207422.7188,225179.4219,225179.4219,5.77E+11,2.39927
225410.9844,225410.9844,197026.9219,203057.3438,203057.3438,4.94E+11,1.7955
204517.1719,208817.5469,178170.9688,192394.3438,192394.3438,5.28E+11,1.63766
192684,199813.1875,178342.7188,190763.7969,190763.7969,4.74E+11,1.71855
191426.8281,198435.5781,185670.8594,191576.3594,191576.3594,4.00E+11,1.68107
193253.8438,196270.25,186690.1094,191966.25,191966.25,3.87E+11,1.75604
191483.8594,194487.3438,177598.5938,187986.6406,187986.6406,3.99E+11,1.40483
187909,194815.4219,186013.5469,192403.0156,192403.0156,3.10E+11,1.18187
192972.0781,207159.875,192972.0781,206095.9531,206095.9531,3.86E+11,1.0773
205974.7656,206632.3125,191607.9688,194349.5938,194349.5938,3.25E+11,1.14241
194115.3125,194369.4844,174897.9844,177263.4688,177263.4688,4.65E+11,1.06941
177284.9219,177808.7969,169026.9688,174632.0156,174632.0156,3.88E+11,1.03784
174985.8906,177338.0625,140722.1563,152412.8906,152412.8906,5.78E+11,1.28645
152696.7344,152740.9219,114077.0781,143071.7344,143071.7344,8.88E+11,1.38116
143095.6875,180289.3906,131949.7813,174512.25,174512.25,7.49E+11,1.03389
174654.9063,189263.8438,152112.7969,161357.6094,161357.6094,1.10E+12,8.57306
162122.8438,167325.8125,128892.4766,137029.5625,137029.5625,9.24E+11,2.98528
139425.0938,157585.4063,116303.7422,154323.0313,154323.0313,1.24E+12,1.6495
153773.6875,171099.8438,142637.7813,150555.5938,150555.5938,8.91E+11,1.3338
150700.4688,164995.5469,150509.5625,163793.8125,163793.8125,9.53E+11,1.27461
164083.1094,177864.1875,155490.0313,177831.6406,177831.6406,7.83E+11,2.03425
177330.5313,183666.0781,161772.0156,168767.0625,168767.0625,6.25E+11,1.63766
168549.0313,168916.75,154685.8594,161384.4844,161384.4844,5.37E+11,1.09111
162591.1563,176855.25,162576.1406,174919.4219,174919.4219,5.80E+11,1.12465
175145.7031,175510.0469,166395.1875,172923.0313,172923.0313,5.24E+11,1.06546
172950.125,236551.5,172919.7969,228291.9844,228291.9844,2.55E+12,8.98741
227209.1719,254723.4531,224507.5156,239639.1094,239639.1094,2.22E+12,10.83816
239717.7813,251927.1406,225905.3125,245355.9063,245355.9063,1.39E+12,3.46474
244692.7344,248903.125,240535.6563,244653.2813,244653.2813,9.21E+11,2.62025
245766.3906,248042.7031,228652.9688,229903.375,229903.375,1.08E+12,2.45057
229561.2969,241980.8594,230345.7031,237923.75,237923.75,8.19E+11,2.492
237955.75,272305.5938,238104.75,249753.6563,249753.6563,1.87E+12,5.26025
247712.5156,252971.5938,223869.4063,229319.2656,229319.2656,1.29E+12,4.39603
228770.0313,241317.8906,207534.5781,210959.9844,210959.9844,1.05E+12,1.96124
209755.625,232681.2344,198263.6406,225216.4844,225216.4844,1.15E+12,1.75999
226645.4063,237050.3438,212923.1875,225338.0625,225338.0625,1.01E+12,1.43443
223950.0313,242713.2813,217744.75,237387.6406,237387.6406,1.11E+12,2.04214
239178.2031,251787.3125,234386.5469,236360.8438,236360.8438,1.39E+12,5.05307
237160.9844,240011.25,230986.5625,234028.7188,234028.7188,9.25E+11,3.18258
234763.4531,241755.1094,219986.6719,220191.7969,220191.7969,8.26E+11,1.75802
220434.8906,232721.8906,218741.6094,226932.7188,226932.7188,7.34E+11,1.08519
226721.7344,230435.0781,221876.8438,229282.0313,229282.0313,6.76E+11,0.98062
230664.9063,234898.7656,226025.4688,227218.5,227218.5,7.36E+11,0.95694
226779.4688,231142.5313,221524.0938,230725.4688,230725.4688,6.20E+11,0.67084
230661.7969,232761.6406,225995.1875,227365.7969,227365.7969,6.40E+11,0.91551
226653.0313,226627.7656,205003.3125,209028.1406,209028.1406,7.03E+11,0.83066
209267.375,212925.3281,187944.0469,198132.25,198132.25,8.06E+11,0.86223
197981.9219,201147.9688,189066.4063,189382.1875,189382.1875,6.57E+11,0.71623
189350,202137.9219,171431.2188,199217.875,199217.875,1.00E+12,0.70044
200223.7188,207179.4375,187901.3906,189174.375,189174.375,6.66E+11,0.97273
188941.2813,205873.0781,183573.625,201047.9844,201047.9844,7.12E+11,0.79712
201122.4844,205773.6875,187095.8281,189617.7969,189617.7969,6.04E+11,0.75569
188940.125,194000.7188,183166.0469,187445.1406,187445.1406,4.99E+11,0.74977
187610.4219,188981.0313,168642.7344,171176.25,171176.25,5.11E+11,0.77542
171283.5625,178859.5,161385.7344,175783.7188,175783.7188,6.03E+11,0.72214
176148.1719,183083.3594,170104.4688,176953.7344,176953.7344,4.67E+11,0.63138
176673.5313,176705.6094,161561.0625,163604.9219,163604.9219,4.32E+11,0.50708
163142.9063,167022.3281,147614.3906,164894.625,164894.625,6.38E+11,0.56232
166394.0156,174402.0938,162384.0469,172787.7344,172787.7344,5.41E+11,0.55641
173194.125,185585.2344,167665.0313,180730.4219,180730.4219,5.28E+11,0.69847
181522.6406,187545.0469,177280.0313,179864.5625,179864.5625,4.92E+11,0.56627
179514.5313,183817.7656,173993.9844,176741.2031,176741.2031,4.37E+11,0.49524
176638.625,181740.2344,169214.9844,181740.2344,181740.2344,3.77E+11,0.42224
182500.4063,182629.2813,172859.625,172859.625,172859.625,3.14E+11,0.3512
172029.0625,176016.9219,170573.6875,173330.9531,173330.9531,2.61E+11,0.36699
173418.6406,173894.4531,153944.5313,160308.1094,160308.1094,4.37E+11,0.45578
